DATA,CDI_NI,PTAX,IBOV,IRF-M,IMA-S,IMA-C,IMA-B,IMA-B 5,IMA-B 5+,IRF-M 1,IRF-M 1+
2009-11-26,8.816920765496057,1.7409,66392.0,4248.551702,1814.113319,2018.156119,2001.198832,1950.477275,2189.097153,4180.215894,4379.791517
2009-11-27,8.819823912996512,1.7443,67082.0,4248.666142,1814.710534,2018.099506,2002.786944,1951.626471,2191.250319,4181.55667,4379.311457
2009-11-30,8.822711876138582,1.7505,67044.0,4246.525076,1815.309553,2018.04272,2002.500064,1951.226777,2191.061791,4182.78995,4375.50517
2009-12-01,8.825607225494974,1.7293,68408.0,4252.455361,1815.905159,2018.353156,2005.89032,1952.464559,2196.92641,4184.357694,4383.661661
2009-12-02,8.828497082324889,1.7201,68615.0,4252.196078,1816.503061,2016.382785,2007.234234,1953.07555,2199.125631,4185.578066,4382.687938
2009-12-03,8.831397596756315,1.7096,68315.0,4253.565146,1817.101133,2017.59604,2007.833704,1953.581484,2199.863122,4186.878894,4384.121423
2009-12-04,8.834299064122753,1.7131,67604.0,4254.172585,1817.699306,2017.848901,2008.180723,1954.380645,2199.76183,4188.094458,4384.451796
2009-12-07,8.837198216046627,1.7302,68512.0,4258.241597,1818.298356,2018.268247,2008.78872,1955.61796,2199.754275,4189.751464,4389.757877
2009-12-08,8.840078965921093,1.7482,67729.0,4257.880534,1818.896377,2018.91085,2008.323943,1955.34735,2199.055576,4190.905226,4388.670951
2009-12-09,8.84297674380612,1.7611,68012.0,4258.581632,1819.495384,2019.525214,2008.456747,1955.747842,2198.918062,4192.221478,4389.097008
2009-12-10,8.84588201538553,1.7627,68728.0,4261.196468,1820.094437,2020.029546,2009.617392,1956.886997,2200.179396,4194.23829,4392.055924
2009-12-11,8.84878496848652,1.7521,69267.0,4264.428826,1820.693371,2019.482768,2013.061568,1958.214459,2206.07586,4195.795631,4396.15681
2009-12-14,8.851688874249627,1.7483,69349.0,4265.472674,1821.292342,2020.083949,2014.763219,1959.234048,2208.607535,4197.154979,4397.077015
2009-12-15,8.854593732987489,1.7557,69311.0,4264.296475,1821.891871,2020.701098,2016.39808,1959.866454,2211.40403,4198.264955,4394.800899
2009-12-16,8.857502821212524,1.7518,68622.0,4261.618283,1822.496454,2021.910641,2017.421431,1959.982271,2213.448282,4199.425662,4390.25934
2009-12-17,8.860412865189405,1.7823,67067.0,4261.939235,1823.09585,2022.118446,2019.527147,1961.395337,2216.422319,4201.363312,4389.82938
2009-12-18,8.863323865232134,1.7879,66794.0,4266.070288,1823.694901,2022.715595,2022.691868,1962.674356,2221.778166,4202.817741,4395.303981
2009-12-21,8.866235821654817,1.7787,65925.0,4269.054422,1824.295696,2020.014547,2026.284785,1964.499224,2227.467608,4204.278539,4399.064874
2009-12-22,8.869151926616558,1.7825,67418.0,4275.243321,1824.895137,2013.863607,2031.268583,1966.313461,2236.111748,4205.749304,4407.588071
2009-12-23,8.872062516204316,1.7763,67589.0,4275.273759,1825.498163,2016.090301,2032.737409,1967.122478,2238.371579,4206.922078,4407.089134
2009-12-24,8.874970778297127,1.7527,,4277.007876,1826.099245,2016.423108,2033.569882,1967.902922,2239.314656,4208.333576,4409.013559
2009-12-28,8.877879993718253,1.7398,67901.0,4276.193005,1826.699415,2016.484696,2035.30624,1968.700882,2242.152269,4209.66199,4407.185046
2009-12-29,8.88079344759579,1.7421,68296.0,4279.2189,1827.301191,1972.819422,2036.365346,1969.214389,2243.854994,4210.984885,4411.072035
2009-12-30,8.883707857581488,1.7412,68588.0,4281.765911,1827.90374,1968.35572,2037.252142,1970.038855,2244.866856,4212.164483,4414.313203
2009-12-31,8.886600481696995,1.7412,,4283.508164,1828.505394,1968.595231,2038.086082,1970.820682,2245.811587,4213.58281,4416.24656
2010-01-04,8.88949404767984,1.724,70045.0,4288.335121,1829.106622,1967.661155,2040.86,1972.338617,2250.089737,4215.296873,4422.631007
2010-01-05,8.892408023828668,1.7227,70239.0,4291.190703,1829.708411,1967.776818,2044.185572,1974.099178,2255.280842,4217.728175,4425.826294
2010-01-06,8.89532295517888,1.7337,70729.0,4295.552586,1830.311359,1967.824613,2047.304654,1975.824806,2260.071595,4221.67062,4430.554736
2010-01-07,8.898238842043588,1.7413,70451.0,4296.869366,1830.914276,1967.317946,2048.376842,1976.569163,2261.559843,4223.445846,4431.592355
2010-01-08,8.90115897708438,1.739,70262.0,4300.642984,1831.516533,1966.268495,2050.715157,1977.9337,2265.077045,4225.736256,4436.42957
2010-01-11,8.90408007042589,1.7323,70433.0,4300.537477,1832.118442,1966.35719,2051.014038,1978.484111,2265.132177,4226.665814,4435.641037
2010-01-12,8.9070021223826,1.7439,70075.0,4301.72268,1832.72055,1967.471727,2051.206045,1979.622313,2264.344518,4227.491094,4437.086852
2010-01-13,8.909925133269102,1.7442,70385.0,4306.132194,1833.323784,1969.525489,2053.213645,1982.031122,2266.066346,4230.902602,4442.241587
2010-01-14,8.912849103400086,1.7648,69801.0,4304.895613,1833.92705,1971.432416,2052.467226,1982.915048,2263.574062,4231.709538,4439.635842
2010-01-15,8.915774033090349,1.7711,68978.0,4311.478479,1834.531062,1973.718544,2054.293465,1984.894359,2265.366037,4234.862043,4448.60772
2010-01-18,8.918696623818397,1.7721,69400.0,4314.360916,1835.135921,1975.827946,2055.442182,1986.43307,2266.189725,4236.172421,4452.564225
2010-01-19,8.921620172571684,1.7747,69908.0,4313.596041,1835.74179,1976.570282,2054.268394,1987.502195,2262.618836,4235.880359,4451.478389
2010-01-20,8.924544679664253,1.7854,68200.0,4314.778074,1836.34616,1980.696866,2055.71225,1989.760534,2263.31909,4237.596282,4452.33958
2010-01-21,8.927473447491778,1.7903,66270.0,4311.87132,1836.950585,1983.0127,2053.856743,1989.095969,2260.107177,4237.981638,4447.247186
2010-01-22,8.93040317645304,1.8187,66220.0,4314.120575,1837.555738,1986.043839,2054.322733,1991.107702,2259.007661,4239.383743,4450.089376
2010-01-25,8.933333866863457,1.8194,,4315.937334,1838.160659,1987.070956,2055.843295,1992.544033,2260.71841,4240.963614,4452.097567
2010-01-26,8.936265519038544,1.8367,65523.0,4320.052689,1838.765665,1990.519328,2057.4241,1993.069084,2263.497303,4242.101949,4458.240582
2010-01-27,8.939198133293926,1.8513,65069.0,4323.045118,1839.371914,1993.40574,2060.219199,1993.316588,2269.114294,4243.45243,4462.365948
2010-01-28,8.942131709945329,1.856,65587.0,4325.356225,1839.977091,1996.74003,2061.119472,1994.191614,2270.101779,4246.822951,4464.031756
2010-01-29,8.945066249308582,1.8748,65401.0,4330.541787,1840.58365,1998.210129,2062.209037,1994.558562,2272.003418,4248.841047,4471.390988
2010-02-01,8.948005061374129,1.8773,66571.0,4337.534717,1841.18931,1999.706047,2064.350036,1995.732261,2275.278039,4250.522078,4481.929879
2010-02-02,8.950944838956993,1.8363,67163.0,4344.142163,1841.796078,2001.646925,2066.883138,1996.607336,2279.6767,4251.068463,4492.55534
2010-02-03,8.953882270524792,1.8337,67108.0,4346.305997,1842.401714,2002.889149,2071.99261,1999.082278,2287.824477,4252.595844,4495.171134
